"title","broad_cir","broad_gmv","broad_roi","click","cost","cpc","cr","ctr","direct_gmv","impression","avg_rank","start_time","created_at","updated_at","fromWIB","toWIB"
"ODS Oversized T-shirt Hijau Olive [4]",0.104602423989899,19800000000,9.5600079028433,25,2071127995,1035563997,0.08,0.02424830261881668,9900000000,1031,19,1720544400,"2025-01-16 14:26:03","2025-01-16 14:26:03",,
"ODS Oversized Stripe T-shirt Beige White",0.030488188636363635,19800000000,32.79958714265129,22,603666135,301833067,0.09090909090909093,0.02689486552567237,9900000000,818,17,1728320400,"2025-01-16 14:26:03","2025-01-16 14:26:03",,
"ODS Oversized T-shirt Quartz Brown [6]",0.08459938893939394,19800000000,11.820416347408711,11,1675067901,837533950,0.18181818181818185,0.02702702702702703,0,407,24,1732899600,"2025-01-16 14:26:03","2025-01-16 14:26:03",,
"ODS Oversized T-shirt Lilac [2]",0.025276820707070703,19800000000,39.56193745996976,10,500481050,250240525,0.2,0.05434782608695652,19800000000,184,18,1698771600,"2025-01-16 14:26:03","2025-01-16 14:26:03",,
"ODS Classic Oversized T-shirt Navy Blue [2]",0.09204149102564102,19500000000,10.8646653683763,28,1794809075,1794809075,0.03571428571428571,0.02407566638005159,0,1163,26,1698771600,"2025-01-16 14:26:03","2025-01-16 14:26:03",,
"ODS Celana Pendek Short Pants Abu Misty Grey [2]",0.16031497217054264,12900000000,6.2377205725751095,64,2068063141,2068063141,0.015625,0.04199475065616798,12900000000,1524,24,1698771600,"2025-01-16 14:26:03","2025-01-16 14:26:03",,
"ODS Airy Oversized T-shirt Abu Grey",0.018403529457364343,12900000000,54.33740317674992,6,237405530,237405530,0.16666666666666666,0.07317073170731707,0,82,22,1728925200,"2025-01-16 14:26:03","2025-01-16 14:26:03",,
"ODS Comfort Short Pants Dutch Blue [2]",0.2255148263636364,9900000000,4.434298250473022,40,2232596781,2232596781,0.025,0.01972386587771203,0,2028,32,1698771600,"2025-01-16 14:26:03","2025-01-16 14:26:03",,
"Topi Rambut Palsu - Topi Golf Rambut Palsu - Topi Golf",0.08751230267346939,98000000000,11.426964774670068,423,8576205662,857620566,0.02364066193853428,0.020196715049656228,98000000000,20944,17,1726678800,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Supporter Bola - Supporter Esport - Topi Rambut Palsu Palestina",0.13940415,4900000000,7.173387592837085,31,683080335,683080335,0.03225806451612903,0.00940248710949348,4900000000,3297,27,1726678800,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Palestina - Topi Rambut Palsu - Topi Wig Palestina - Topi Bulu",0.1052830412244898,4900000000,9.498205868386243,26,515886902,515886902,0.038461538461538464,0.013238289205702648,4900000000,1964,24,1726678800,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Supporter Bola - Supporter Esport - Topi Rambut Palsu Palestina [3]",0.07694619448979592,4900000000,12.996094304996632,15,377036353,377036353,0.06666666666666667,0.017201834862385322,4900000000,872,30,1726938000,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Palestina - Topi Rambut Palsu - Topi Wig Palestina - Topi Bulu [3]",0.04198688612244898,4900000000,23.816960302405796,11,205735742,205735742,0.09090909090909093,0.023404255319148932,4900000000,470,29,1727197200,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut E-sport - Topi Rambut Palsu - Topi Wig - Topi Bulu E-sport",0,0,0,56,1259718997,0,0,0.015410016510731976,0,3634,30,1726678800,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Palsu - Topi Wig - Topi Bulu - Topi Sule - Topi Rambut",0,0,0,13,265543689,0,0,0.009021512838306732,0,1441,28,1726678800,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Palsu - Topi Rambut Palsu Anak - Rambut Palsu Topi Anak [3]",0,0,0,16,328301839,0,0,0.01866977829638273,0,857,10,1727197200,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Palsu - Topi Rambut Brigez - Topi Rambut XTC - Topi Bulu - Topi Wig",0,0,0,8,145147795,0,0,0.015503875968992248,0,516,28,1726678800,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Topi Rambut Palsu - Topi Wig - Topi Bulu - Topi Sule - Topi Rambut [3]",0,0,0,8,196342087,0,0,0.01694915254237288,0,472,30,1727197200,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
"Udeng Kujang Rambut Palsu - Udeng Rambut Palsu - Topi Rambut Palsu - Ikat Kepala Sunda",0,0,0,2,20829949,0,0,0.005917159763313609,0,338,33,1726938000,"2025-01-18 15:04:45","2025-01-18 15:04:45",,
